q1,q2,q3,q4,q5,q6,
-0.020700976233255418,-0.14654421041126073,-0.3112670940967297,-0.04680876071501342,0.4582459542039993,-1.528810835231421,
-0.02586745014459721,-0.1471445158297919,-0.3106059213682735,-0.05847905118812159,0.4584290397067622,-1.5183436029057218,
-0.031029871541767007,-0.14778694460362699,-0.3098980826336018,-0.07013091731338969,0.4586613604145943,-1.507893520978012,
-0.036187970365895224,-0.14847142114894515,-0.3091436060468786,-0.0817615796752189,0.45894265384909483,-1.497463283321906,
-0.04134147793012576,-0.14919786520959147,-0.30834252146704383,-0.09336829606973834,0.45927262903853877,-1.4870555463383652,
-0.046490127001108585,-0.14996619191798544,-0.3074948604281994,-0.10494836569182552,0.45965096706365977,-1.47667292474755,
-0.051633651879354335,-0.15077631185937523,-0.30660065610829174,-0.11649913316177701,0.46007732165242615,-1.466317987541586,
-0.05677178847839179,-0.15162813113937157,-0.30565994329610924,-0.12801799237810021,0.4605513198213721,-1.455993254111805,
-0.06190427440267253,-0.15252155145466692,-0.3046727583566301,-0.13950239018410582,0.4610725625608803,-1.445701190562811,
-0.06703084902416756,-0.15345647016688468,-0.303639139194727,-0.15094982983724628,0.4616406255616728,-1.4354442062244441,
-0.07215125355760407,-0.15443278037944813,-0.3025591252172772,-0.16235787427146814,0.4622550599796372,-1.4252246503714088,
-0.07726523113429064,-0.15545037101740194,-0.3014327572936863,-0.17372414914419665,0.4629153932360137,-1.415044809158963,
-0.08237252687448239,-0.1565091269100999,-0.30026007771485214,-0.18504634566095293,0.46362112984988085,-1.404906902781693,
-0.08747288795823993,-0.15760892887664765,-0.2990411301506158,-0.19632222317198897,0.46437175229981914,-1.3948130828610104,
-0.09256606369473609,-0.15874965381403075,-0.29777595960570485,-0.20754961153670826,0.4651667219115834,-1.3847654300656145,
-0.09765180558996915,-0.15993117478782146,-0.2964646123742131,-0.218726413253009,0.46600547976859485,-1.374765951967806,
-0.10272986741284167,-0.16115336112536974,-0.29510713599263755,-0.22985060535002633,0.466887447642053,-1.3648165811371884,
-0.1078000052595662,-0.16241607851138054,-0.293703579191509,-0.24092024104404547,0.4678120289374941,-1.3549191734719939,
